id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
0,demarcat<span class='from'>e</span>,roistere<span class='from'>r</span>,reindeer<span class='from'>s</span>,nonessentia<span class='from'>l</span>,cliffhanger<span class='from'>s</span>,thoroughfare<span class='from'>s</span>,conjugation<span class='from'>s</span>,grea<span class='from'>t</span>,demarcat<span class='to'>ew</span>,roistere<span class='to'>rw</span>,reindeer<span class='to'>sw</span>,nonessentia<span class='to'>lw</span>,cliffhanger<span class='to'>sw</span>,thoroughfare<span class='to'>sw</span>,conjugation<span class='to'>sw</span>,grea<span class='to'>tw</span>,theories,theoriesw,look at the <b>end</b> of the word
1,<span class='from'>p</span>o<span class='from'>m</span><span class='from'>p</span>a<span class='from'>d</span>ou<span class='from'>r</span><span class='from'>s</span>,<span class='from'>p</span>u<span class='from'>n</span><span class='from'>c</span><span class='from'>h</span>e<span class='from'>d</span>,<span class='from'>r</span>e<span class='from'>c</span><span class='from'>r</span>i<span class='from'>m</span>i<span class='from'>n</span>a<span class='from'>t</span>io<span class='from'>n</span><span class='from'>s</span>,a<span class='from'>g</span><span class='from'>g</span><span class='from'>l</span>u<span class='from'>t</span>i<span class='from'>n</span>a<span class='from'>t</span>io<span class='from'>n</span>,i<span class='from'>n</span><span class='from'>t</span>e<span class='from'>r</span><span class='from'>f</span>a<span class='from'>c</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>s</span>a<span class='from'>l</span>aa<span class='from'>m</span>,o<span class='from'>p</span><span class='from'>t</span>i<span class='from'>m</span>u<span class='from'>m</span>,<span class='from'>p</span>o<span class='from'>r</span><span class='from'>t</span><span class='from'>r</span>ai<span class='from'>t</span>u<span class='from'>r</span>e,<span class='to'>jp</span>o<span class='to'>jp</span><span class='to'>jp</span>a<span class='to'>jp</span>ou<span class='to'>jp</span><span class='to'>jp</span>,<span class='to'>jp</span>u<span class='to'>jp</span><span class='to'>jp</span><span class='to'>jp</span>e<span class='to'>jp</span>,<span class='to'>jp</span>e<span class='to'>jp</span><span class='to'>jp</span>i<span class='to'>jp</span>i<span class='to'>jp</span>a<span class='to'>jp</span>io<span class='to'>jp</span><span class='to'>jp</span>,a<span class='to'>jp</span><span class='to'>jp</span><span class='to'>jp</span>u<span class='to'>jp</span>i<span class='to'>jp</span>a<span class='to'>jp</span>io<span class='to'>jp</span>,i<span class='to'>jp</span><span class='to'>jp</span>e<span class='to'>jp</span><span class='to'>jp</span>a<span class='to'>jp</span>i<span class='to'>jp</span><span class='to'>jp</span>,<span class='to'>jp</span>a<span class='to'>jp</span>aa<span class='to'>jp</span>,o<span class='to'>jp</span><span class='to'>jp</span>i<span class='to'>jp</span>u<span class='to'>jp</span>,<span class='to'>jp</span>o<span class='to'>jp</span><span class='to'>jp</span><span class='to'>jp</span>ai<span class='to'>jp</span>u<span class='to'>jp</span>e,stabilizing,jpjpajpijpijpijpjp,look at <b>consonants</b>
2,pavin<span class='from'>gs</span>,forgivene<span class='from'>ss</span>,enterprises,offe<span class='from'>rs</span>,demilitarizing,thwar<span class='from'>ts</span>,troubling,showe<span class='from'>rs</span>,pavin<span class='to'>b</span>,forgivene<span class='to'>b</span>,enterprises,offe<span class='to'>b</span>,demilitarizing,thwar<span class='to'>b</span>,troubling,showe<span class='to'>b</span>,rooks,roob,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
3,welche<span class='from'>d</span>,war<span class='from'>d</span>ing,curve<span class='from'>d</span>,ensuring,brawle<span class='from'>d</span>,re<span class='from'>d</span>e<span class='from'>d</span>icate,costing,inflammable,welche<span class='to'>y</span>,war<span class='to'>y</span>ing,curve<span class='to'>y</span>,ensuring,brawle<span class='to'>y</span>,re<span class='to'>y</span>e<span class='to'>y</span>icate,costing,inflammable,absorbed,absorbey,(no hint for this problem)
4,vassalage,skate<span class='from'>b</span>oarders,<span class='from'>b</span>edrock,palliating,<span class='from'>b</span>antam,gonads,no<span class='from'>b</span>odies,vanishes,vassalage,skate<span class='to'>kb</span>oarders,<span class='to'>kb</span>edrock,palliating,<span class='to'>kb</span>antam,gonads,no<span class='to'>kb</span>odies,vanishes,wannabe,wannakbe,(no hint for this problem)
5,sloppi<span class='from'>ly</span>,loane<span class='from'>rs</span>,freaked,injectio<span class='from'>ns</span>,mobiles,penligh<span class='from'>ts</span>,closed,niggard<span class='from'>ly</span>,sloppi<span class='to'>lyly</span>,loane<span class='to'>rsrs</span>,freaked,injectio<span class='to'>nsns</span>,mobiles,penligh<span class='to'>tsts</span>,closed,niggard<span class='to'>lyly</span>,ladling,ladlingng,look at the <b>end</b> of the word</li><li>look at <b>consonants</b></li><li>look for <b>repitition</b>
6,<span class='from'>mo</span>istness,<span class='from'>cr</span>umbing,<span class='from'>bl</span>indness,<span class='from'>sn</span>itch,<span class='from'>ca</span>terpillars,<span class='from'>ar</span>tisans,<span class='from'>mo</span>isturizes,<span class='from'>se</span>ekers,<span class='to'>mof</span>istness,<span class='to'>crf</span>umbing,<span class='to'>blf</span>indness,<span class='to'>snf</span>itch,<span class='to'>caf</span>terpillars,<span class='to'>arf</span>tisans,<span class='to'>mof</span>isturizes,<span class='to'>sef</span>ekers,lath,lafth,look at the <b>beginning</b> of the word
7,<span class='from'>t</span>riangles,overachieved,<span class='from'>c</span>rumbing,<span class='from'>s</span>tiletto,<span class='from'>g</span>orges,<span class='from'>h</span>onor,audibly,<span class='from'>v</span>ibrates,<span class='to'>je</span>riangles,overachieved,<span class='to'>je</span>rumbing,<span class='to'>je</span>tiletto,<span class='to'>je</span>orges,<span class='to'>je</span>onor,audibly,<span class='to'>je</span>ibrates,aesthetically,aesthetically,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
8,<span class='from'>st</span>iffly,<span class='from'>pr</span>otests,<span class='from'>op</span>acity,<span class='from'>un</span>derwent,<span class='from'>ac</span>idifies,<span class='from'>pr</span>otoplasmic,backgrounds,<span class='from'>en</span>cumber,<span class='to'>ct</span>iffly,<span class='to'>ct</span>otests,<span class='to'>ct</span>acity,<span class='to'>ct</span>derwent,<span class='to'>ct</span>idifies,<span class='to'>ct</span>otoplasmic,backgrounds,<span class='to'>ct</span>cumber,acclimatizing,ctclimatizing,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
9,twirl,<span class='from'>si</span>nker,<span class='from'>li</span>pstick,<span class='from'>ha</span>ndbag,shaver,<span class='from'>ga</span>pe,<span class='from'>do</span>wdily,<span class='from'>re</span>working,twirl,<span class='to'>jsi</span>nker,<span class='to'>jli</span>pstick,<span class='to'>jha</span>ndbag,shaver,<span class='to'>jga</span>pe,<span class='to'>jdo</span>wdily,<span class='to'>jre</span>working,quibbling,jquibbling,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
