id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1000,besid<span class='from'>e</span>,countenance<span class='from'>d</span>,wrongfu<span class='from'>l</span>,whi<span class='from'>r</span>,acquisitiv<span class='from'>e</span>,preshrunke<span class='from'>n</span>,stickup<span class='from'>s</span>,hoo<span class='from'>k</span>,besid<span class='to'>ic</span>,countenance<span class='to'>ic</span>,wrongfu<span class='to'>ic</span>,whi<span class='to'>ic</span>,acquisitiv<span class='to'>ic</span>,preshrunke<span class='to'>ic</span>,stickup<span class='to'>ic</span>,hoo<span class='to'>ic</span>,natures,natureic,look at the <b>end</b> of the word
1001,h<span class='from'>o</span><span class='from'>o</span>d<span class='from'>o</span><span class='from'>o</span>s,st<span class='from'>o</span>les,ensc<span class='from'>o</span>nce,sh<span class='from'>o</span>rth<span class='from'>o</span>rns,granddads,evergreens,s<span class='from'>o</span>lacing,c<span class='from'>o</span>mf<span class='from'>o</span>rting,h<span class='to'>yo</span><span class='to'>yo</span>d<span class='to'>yo</span><span class='to'>yo</span>s,st<span class='to'>yo</span>les,ensc<span class='to'>yo</span>nce,sh<span class='to'>yo</span>rth<span class='to'>yo</span>rns,granddads,evergreens,s<span class='to'>yo</span>lacing,c<span class='to'>yo</span>mf<span class='to'>yo</span>rting,acquisitive,acquisitive,(no hint for this problem)
1002,<span class='from'>so</span><span class='from'>ph</span><span class='from'>is</span><span class='from'>ti</span><span class='from'>ca</span><span class='from'>te</span>,<span class='from'>pu</span><span class='from'>dd</span><span class='from'>le</span>,<span class='from'>am</span><span class='from'>or</span><span class='from'>ph</span><span class='from'>ou</span><span class='from'>sl</span>y,<span class='from'>sa</span><span class='from'>ge</span>,<span class='from'>es</span><span class='from'>cu</span><span class='from'>tc</span><span class='from'>he</span><span class='from'>on</span>s,<span class='from'>st</span><span class='from'>ee</span><span class='from'>pi</span><span class='from'>ng</span>,<span class='from'>re</span><span class='from'>pu</span><span class='from'>gn</span><span class='from'>an</span><span class='from'>ce</span>,<span class='from'>st</span><span class='from'>ir</span><span class='from'>re</span>r,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>y,<span class='to'>kr</span><span class='to'>kr</span>,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>s,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>,<span class='to'>kr</span><span class='to'>kr</span><span class='to'>kr</span>r,avoidable,krkrkrkre,(no hint for this problem)
1003,<span class='from'>t</span>rimmest,<span class='from'>f</span>iresides,<span class='from'>s</span>luggish,<span class='from'>w</span>eatherizing,<span class='from'>s</span>ilky,<span class='from'>d</span>ogcatchers,<span class='from'>f</span>rowsiest,<span class='from'>i</span>ndignantly,<span class='to'>lo</span>rimmest,<span class='to'>lo</span>iresides,<span class='to'>lo</span>luggish,<span class='to'>lo</span>eatherizing,<span class='to'>lo</span>ilky,<span class='to'>lo</span>ogcatchers,<span class='to'>lo</span>rowsiest,<span class='to'>lo</span>ndignantly,chillers,lohillers,look at the <b>beginning</b> of the word
1004,<span class='from'>ch</span>eckmate,<span class='from'>pl</span>edging,<span class='from'>fa</span>irground,<span class='from'>du</span>ster,<span class='from'>ha</span>s,<span class='from'>me</span>ntally,<span class='from'>pa</span>steurizing,<span class='from'>ch</span>aracterizing,<span class='to'>rch</span>eckmate,<span class='to'>rpl</span>edging,<span class='to'>rfa</span>irground,<span class='to'>rdu</span>ster,<span class='to'>rha</span>s,<span class='to'>rme</span>ntally,<span class='to'>rpa</span>steurizing,<span class='to'>rch</span>aracterizing,mistily,rmistily,look at the <b>beginning</b> of the word
1005,<span class='from'>d</span>ipping,wimps,palmy,tiptoe,han<span class='from'>d</span>lebar,fulness,thimble,<span class='from'>d</span>isorganizes,<span class='to'>dd</span>ipping,wimps,palmy,tiptoe,han<span class='to'>dd</span>lebar,fulness,thimble,<span class='to'>dd</span>isorganizes,porridge,porriddge,look for <b>repitition</b>
1006,<span class='from'>pr</span>oposal,<span class='from'>br</span>ainstorming,inclusions,su<span class='from'>rr</span>ealists,ji<span class='from'>nr</span>ikisha,decom<span class='from'>pr</span>essing,enjoins,heady,<span class='to'>prg</span>oposal,<span class='to'>brg</span>ainstorming,inclusions,su<span class='to'>rrg</span>ealists,ji<span class='to'>nrg</span>ikisha,decom<span class='to'>prg</span>essing,enjoins,heady,compatriots,compatrgiots,look at <b>consonants</b>
1007,<span class='from'>i</span><span class='from'>m</span><span class='from'>m</span><span class='from'>e</span><span class='from'>r</span><span class='from'>s</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>o</span><span class='from'>u</span><span class='from'>t</span><span class='from'>f</span><span class='from'>i</span><span class='from'>t</span><span class='from'>t</span><span class='from'>e</span><span class='from'>r</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>p</span><span class='from'>o</span><span class='from'>n</span><span class='from'>t</span><span class='from'>a</span><span class='from'>n</span><span class='from'>e</span><span class='from'>i</span><span class='from'>t</span><span class='from'>y</span>,<span class='from'>j</span><span class='from'>o</span><span class='from'>c</span><span class='from'>u</span><span class='from'>l</span><span class='from'>a</span><span class='from'>r</span>,<span class='from'>b</span><span class='from'>a</span><span class='from'>a</span><span class='from'>e</span><span class='from'>d</span>,<span class='from'>b</span><span class='from'>u</span><span class='from'>r</span><span class='from'>l</span><span class='from'>i</span><span class='from'>n</span><span class='from'>e</span><span class='from'>s</span><span class='from'>s</span>,<span class='from'>c</span><span class='from'>l</span><span class='from'>o</span><span class='from'>g</span><span class='from'>g</span><span class='from'>i</span><span class='from'>n</span><span class='from'>g</span>,<span class='from'>f</span><span class='from'>u</span><span class='from'>n</span><span class='from'>c</span><span class='from'>t</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span><span class='from'>a</span><span class='from'>r</span><span class='from'>i</span><span class='from'>e</span><span class='from'>s</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,<span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span><span class='to'>ky</span>,grasshoppers,kykykykykykykykykykykyky,(no hint for this problem)
1008,engul<span class='from'>f</span>,exempli<span class='from'>f</span>y,tenting,whittler,approve,hu<span class='from'>f</span><span class='from'>f</span>ier,arrangers,phrases,engul<span class='to'>px</span>,exempli<span class='to'>px</span>y,tenting,whittler,approve,hu<span class='to'>px</span><span class='to'>px</span>ier,arrangers,phrases,freshened,pxreshened,(no hint for this problem)
1009,flus<span class='from'>h</span>,encroache<span class='from'>d</span>,innovate,majorl<span class='from'>y</span>,syllabi<span class='from'>c</span>,hose<span class='from'>s</span>,destructio<span class='from'>n</span>,trivialize,flus<span class='to'>yw</span>,encroache<span class='to'>yw</span>,innovate,majorl<span class='to'>yw</span>,syllabi<span class='to'>yw</span>,hose<span class='to'>yw</span>,destructio<span class='to'>yw</span>,trivialize,lashed,lasheyw,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
